3DTV|3.033605|5.116495|2.474604|0.1470248|0.2968887|-0.9424336|-0.04538299
cabinet|7.546193|3.516388|5.777225|-0.2245612|0.4203856|-0.5910861|-0.6507423
locker|-15.20316|3.86667|0.324022|-0.02230521|0.01903895|0.7047915|-0.7088081
chair|-12.8262|4.6197|0.6521238|-0.03700515|0.008411819|0.958392|-0.2829215
desk|-5.794735|5.60299|-0.1237691|0.003636252|0.00740286|0.913839|0.4059928
3DTV|15.33|4.179854|8.629999|-0.7071068|-5.547714E-09|-1.246448E-07|0.7071068
3DTV|-38.1|4.179852|10.59|-0.5|-0.5|-0.5|0.5
cabinet|-15.07|2.741695|18.49001|-1.700926E-07|0.7071067|0.7071069|-1.971731E-07
cabinet|-15.07|2.741696|11.99|-1.605E-07|0.7071068|0.7071068|-1.631489E-07
locker|-29.84962|4.560771|18.57989|0.5000252|0.4999872|0.5000154|-0.4999722
locker|-28.04962|4.560771|18.27989|0.5000252|0.4999872|0.5000154|-0.4999722
locker|-26.34962|4.560771|17.87989|0.5000252|0.4999872|0.5000154|-0.4999722
locker|-24.54962|4.560771|17.57989|0.5000252|0.4999872|0.5000154|-0.4999722
locker|-22.85039|4.560775|17.28011|0.4999721|0.5000156|0.4999871|-0.5000253
locker|20.59945|4.560802|18.81995|0.5416544|0.4545526|0.4544828|-0.5416991
locker|22.38048|4.560835|18.51036|0.5416724|0.4544767|0.4545684|-0.541673
locker|24.1096|4.56082|18.20041|0.5416315|0.4545243|0.4545164|-0.5417175
locker|25.9296|4.56082|17.88041|0.5416316|0.4545244|0.4545163|-0.5417174
locker|27.6296|4.56082|17.58041|0.5416316|0.4545243|0.4545162|-0.5417176
locker|11.6796|4.56082|20.39041|0.5416315|0.4545245|0.4545162|-0.5417176
locker|13.4596|4.560819|20.08041|0.5416315|0.4545243|0.4545163|-0.5417175
locker|15.1896|4.56082|19.77041|0.5416314|0.4545244|0.4545163|-0.5417175
locker|17.0096|4.56082|19.45041|0.5416315|0.4545246|0.4545165|-0.5417172
locker|18.71014|4.56074|19.15001|0.5416827|0.4545111|0.4545268|-0.5416687
locker|2.729597|4.56082|21.97041|0.5416316|0.4545246|0.4545163|-0.5417172
locker|4.509912|4.560805|21.66047|0.5416448|0.4545008|0.4545364|-0.5417072
locker|6.239597|4.56082|21.35041|0.5416316|0.4545244|0.4545163|-0.5417174
locker|8.059596|4.560819|21.03041|0.5416316|0.4545244|0.4545162|-0.5417174
locker|9.760245|4.560806|20.7304|0.5416619|0.4544871|0.4545548|-0.5416861
locker|-6.140403|4.560819|23.53041|0.5416316|0.4545244|0.4545164|-0.5417174
locker|-4.360087|4.560805|23.22047|0.5416447|0.4545008|0.4545366|-0.541707
locker|-2.630403|4.560819|22.91041|0.5416316|0.4545244|0.4545164|-0.5417174
locker|-0.8101377|4.560739|22.59|0.5416687|0.4545268|0.4545108|-0.5416829
locker|0.8895979|4.560819|22.29041|0.5416316|0.4545244|0.4545163|-0.5417174
locker|-7.820405|4.56082|23.83041|0.5416316|0.4545244|0.4545164|-0.5417175
locker|-9.519755|4.560806|24.1304|0.5416618|0.454487|0.4545548|-0.5416862
locker|-11.33995|4.560757|24.45026|0.5416633|0.4545034|0.4545342|-0.5416882
